ITI Name,Phone Number,Email
Sarada Industrial Training Centre for Minority,,sarada0634@gm ail.com
Sri Lalitha Industrial Training Centre,04027242772,shankeruma196 8@gmail.com
St. Francis Xaviers Industrial Training Centre,04023775080,jpreddy.gade@g mail.com
Sri Bhagawati Institute of Technology ITC,04024031168,sribhagwathiitc @yahoo.co.in
Sri Krishna Dewaraya Industrial Training Centre,09948914229,skditcramchandr apuram@gmail.c om
Dr. Ambedkar Centenary Indus. Training Centre,04027613928,ambedkariti@g mail.com
Vincent Industrial Training Centre,,kumarvincentitc @gmail.com
Suhana Industrial Training Centre,,3114.suhanaiti@ gmail.com
Vidhyarthi Industrial Training Centre,,vidyarhiiti3118 @gmail.com
Sri Sai Industrial Training Centre,"8,455,277,504",ssitc.1992@gmai l.com
P.N.R. Memorial Industrial Training Centre,,gantasrinivas30 @gmail.com
"Sri Aurobindo Private ITI, saroornagar",,aurobindoitc@g mail.com
Rajiv Gandhi Memorial Industrial Training Centre,,rajivgandhiiti311 1@gmail.com
Gautam Buddha Minority Industrial Training Centre,,"kiran083@yahoo
.com"
Sri Venkateshwara Industrial Training Centre,,"sviti0625@gmail
.com"
"Sri Vijay Sai Industrial Training Centre, Annaram",,vijayasaiiti@gma il.com
Venkata Ramana Industrial Training Cetre,09866535681,darimadugusvrit c@gmail.com
Sri Ramachandra Industrial Training Centre,,nalamk32@gmai l.com
Nagarjuna Industrial Training Centre,,tsudharani1980 @gmail.com
ALBERT Industrial Training Centre,,mmasthankhan @yahoo.com
Marcos Industrial Training Centre,,marcositiknr@g mail.com
Kakatheeya ITC (Shifted from Karim Nagar),09247062939,kaktiyaiti1@gma il.com
Kakatheeya ITI,,kakatiya.itipdpl @gmail.com
Royal Industrial Trainiing Centre,,darimadugusvrit c@gmail.com
Sri venkateshwara Industrial Training Centre,09441762483,svitcnarayankhe d@gmail.com
"Training Centre for the Adult Deaf Govt. Industrial
Training Institute",04024464045,tcad1962@yaho o.com
Gawtham ITC (Shifting From Dist Krishna),,pavanvignan@ya hoo.com
U-Like Industrail Trainign Centre Suryapet Mandal,,ulikeitc@gmail.c om
Saraswathi MPHW (F) Trg. School,07386668845,arunareddy0845 7@gmail.com
G.V.L. Memorial Private ITI(Shifting from Hyderabad),,g.v.l.mi.t.c@gma il.com
Santosh College of Nursing ITC,,sitikarimnagar@ gmail.com
Vinay ITC Shifted From (Rakasipet Bedhan),,vinayiti.nzb@gm ail.com
Riddhi Private ITI,,riddhiitiuppal@g mail.com
Shiva Sai Private ITI,,shivasaiiti@gmai l.com
Surya Private ITI,,rajareddy.ganup a@gmail.com
Vignan Pvt ITI Paidipally,,vignaniti@gmail. com
Veerabadra Pvt ITI Kesamudram,,srivbiti@gmail.c om
Shivasai Pvt ITI Bheemaram,,shivasaiiti9@gm ail.com
